date,platform,order_id,sku,product,qty,price,discount,marketplace_fee,packing_cost,ad_cost_allocated,hpp,gross_revenue,net_revenue,net_profit,net_margin,order_status
2026-05-18,TikTok Shop,ORD-1001,RGE-35,Rouge 540 35ml,1,99000,10671,6454,1200,7142,32000,99000,81875,41533,0.4195252525252525,completed
2026-05-18,TikTok Shop,ORD-1002,SAV-50,Sauvage Night 50ml,1,129000,6935,8281,1200,10109,42000,129000,113784,60475,0.4687984496124031,completed
2026-05-18,Tokopedia,ORD-1003,OCN-50,Ocean Blue 50ml,1,119000,3799,6593,1200,7029,38000,119000,108608,62379,0.5241932773109244,completed
2026-05-18,Tokopedia,ORD-1004,OCN-30,Ocean Blue 30ml,1,79000,2906,7487,1500,9701,25500,79000,68607,31906,0.40387341772151897,completed
2026-05-18,Shopee,ORD-1005,RGE-35,Rouge 540 35ml,1,99000,6020,9203,2000,4212,32000,99000,83777,45565,0.46025252525252525,completed
2026-05-18,Tokopedia,ORD-1006,OCN-30,Ocean Blue 30ml,1,79000,6159,5440,1200,5486,25500,79000,67401,35215,0.4457594936708861,completed
2026-05-18,Shopee,ORD-1007,OCN-30,Ocean Blue 30ml,1,79000,8709,7350,1200,5423,25500,79000,62941,30818,0.3901012658227848,completed
2026-05-18,Shopee,ORD-1008,SAV-50,Sauvage Night 50ml,3,129000,28321,25028,4500,16749,42000,387000,333651,186402,0.48165891472868216,completed
2026-05-18,Tokopedia,ORD-1009,OCN-30,Ocean Blue 30ml,1,79000,7622,5800,2000,8222,25500,79000,65578,29856,0.3779240506329114,completed
2026-05-18,Shopee,ORD-1010,VNL-30,Vanilla Sweet 30ml,1,75000,6618,6014,1500,3070,24500,75000,62368,33298,0.44397333333333333,completed
2026-05-18,TikTok Shop,ORD-1011,RGE-35,Rouge 540 35ml,1,99000,11522,8619,1500,7250,32000,99000,78859,38109,0.3849393939393939,completed
2026-05-18,TikTok Shop,ORD-1012,RGE-35,Rouge 540 35ml,2,99000,6098,18009,3000,17964,32000,198000,173893,88929,0.4491363636363636,completed
2026-05-18,TikTok Shop,ORD-1013,SAV-50,Sauvage Night 50ml,2,129000,24141,14731,3000,13987,42000,258000,219128,118141,0.4579108527131783,completed
2026-05-18,Shopee,ORD-1014,SAV-50,Sauvage Night 50ml,1,129000,10613,8505,1200,10600,42000,129000,109882,56082,0.4347441860465116,completed
2026-05-18,Shopee,ORD-1015,OCN-30,Ocean Blue 30ml,2,79000,12990,11684,3000,13891,25500,158000,133326,65435,0.4141455696202532,shipped
2026-05-18,Tokopedia,ORD-1016,OCN-30,Ocean Blue 30ml,1,79000,6264,4806,1500,9057,25500,79000,67930,31873,0.40345569620253163,completed
2026-05-18,TikTok Shop,ORD-1017,OCN-30,Ocean Blue 30ml,1,79000,7376,7404,2000,3942,25500,79000,64220,32778,0.4149113924050633,completed
2026-05-18,Shopee,ORD-1018,OCN-50,Ocean Blue 50ml,1,119000,9615,10494,1500,8403,38000,119000,98891,50988,0.4284705882352941,completed
2026-05-18,Tokopedia,ORD-1019,VNL-30,Vanilla Sweet 30ml,1,75000,7584,4629,1200,3139,24500,75000,62787,33948,0.45264,completed
2026-05-18,Shopee,ORD-1020,SAV-50,Sauvage Night 50ml,1,129000,13885,7387,2000,12396,42000,129000,107728,51332,0.39792248062015506,completed
2026-05-18,Shopee,ORD-1021,OCN-50,Ocean Blue 50ml,2,119000,12751,21333,4000,25385,38000,238000,203916,98531,0.41399579831932776,completed
2026-05-18,Tokopedia,ORD-1022,VNL-30,Vanilla Sweet 30ml,1,75000,7392,5643,1500,8396,24500,75000,61965,27569,0.3675866666666667,completed
2026-05-18,Shopee,ORD-1023,RGE-35,Rouge 540 35ml,1,99000,4748,6313,2000,11136,32000,99000,87939,42803,0.4323535353535354,completed
2026-05-18,Tokopedia,ORD-1024,VNL-30,Vanilla Sweet 30ml,3,75000,13894,19298,3600,9141,24500,225000,191808,105567,0.46918666666666664,completed
2026-05-18,Tokopedia,ORD-1025,SAV-50,Sauvage Night 50ml,2,129000,23510,22795,4000,19749,42000,258000,211695,103946,0.402891472868217,completed
